Year,Sex,Type,Cancer_Type,MorRate_Age_0_to_4,MorRate_Age_5_to_9,MorRate_Age_10_to_14,MorRate_Age_15_to_19,MorRate_Age_20_to_24,MorRate_Age_25_to_29,MorRate_Age_30_to_34,MorRate_Age_35_to_39,MorRate_Age_40_to_44,MorRate_Age_45_to_49,MorRate_Age_50_to_54,MorRate_Age_55_to_59,MorRate_Age_60_to_64,MorRate_Age_65_to_69,MorRate_Age_70_to_74,MorRate_Age_75_to_79,MorRate_Age_80_to_84,MorRate_Age_85+
2009,Male,Mortality,Testicular cancer,0,0,0,0.000541856,0.000949749,0.00098312,0.000535269,0.001511023,0,0,0.00173913,0,0.002161477,0.00095681,0.002435282,0.001547652,0.002140274,0
2009,Male,Mortality,Thyroid cancer,0,0,0,0,0,0,0,0.000503674,0.00053351,0.001604381,0.00115942,0.001956462,0.001440984,0.005740858,0.008523488,0.017024174,0.017122188,0.015606467
2009,Male,Mortality,Tongue cancer,0,0,0,0,0,0.00049156,0,0.000503674,0.00053351,0.004278349,0.006376812,0.008478003,0.008645907,0.020093002,0.024352824,0.021667131,0.021402735,0.028091641
2009,Male,Mortality,Unknown primary site,0,0,0,0,0,0.00147468,0.002676344,0.003022046,0.005868607,0.014439429,0.030724638,0.043042168,0.075651685,0.125342059,0.188734384,0.28012505,0.496543458,0.789687246
2009,Female,Mortality,Acute lymphoblastic leukaemia,0,0.001271973,0.000621736,0.001146414,0.001532262,0.000506101,0.000534568,0,0.001558344,0.001039836,0.001696756,0,0.002808693,0.001849677,0.004481642,0.001304563,0.001552819,0.001582829
2009,Female,Mortality,Acute myeloid leukaemia,0.00060064,0.001271973,0.002486944,0.001719621,0.001021508,0.002024404,0.001603703,0.00146576,0.002077793,0.004159344,0.005655853,0.015116777,0.018256504,0.024970636,0.048177652,0.058705351,0.088510691,0.082307132
2009,Female,Mortality,Anal cancer,0,0,0,0,0,0,0,0,0,0,0.000565585,0.000629866,0.000702173,0,0.001120411,0.001304563,0.001552819,0.004748488
2009,Female,Mortality,Bladder cancer,0,0,0,0,0,0,0,0.000488587,0.000519448,0.002079672,0.001131171,0.002519463,0.007723905,0.017571929,0.041455189,0.065228168,0.111802978,0.197853683
2009,Female,Mortality,Bowel cancer,0,0,0,0,0.000510754,0.002530505,0.002672839,0.005374453,0.017661237,0.026515821,0.050902674,0.067395631,0.096899905,0.133176727,0.226322925,0.311790644,0.444106275,0.743929849
2009,Female,Mortality,Brain cancer,0.00060064,0.001271973,0.001865208,0.001719621,0.000510754,0.001518303,0.003741975,0.005863039,0.009350066,0.020796722,0.013574046,0.032753017,0.046343433,0.053640626,0.067224631,0.066532731,0.076088138,0.042736396
